date,ticker,sector,close,volume,daily_return,cumulative_return,rolling_volatility_21d,rolling_peak,drawdown
2022-01-03,AURORA,Consumer,183.22,1073110,,0.0,,183.22,0.0
2022-01-04,AURORA,Consumer,182.54,702232,-0.0037113852199541775,-0.0037113852199541775,,183.22,-0.0037113852199541775
2022-01-05,AURORA,Consumer,185.32,1006080,0.015229538731236891,0.011461630826328895,,185.32,0.0
2022-01-06,AURORA,Consumer,188.84,518902,0.018994172242607466,0.03067350725903273,,188.84,0.0
2022-01-07,AURORA,Consumer,187.35,882666,-0.007890277483584063,0.022541207291780108,,188.84,-0.007890277483584063
2022-01-10,AURORA,Consumer,183.71,933066,-0.01942887643448088,0.0026743805261431053,,188.84,-0.02716585469180255
2022-01-11,AURORA,Consumer,186.59,743965,0.015676882042349405,0.01839318851653715,,188.84,-0.011914848549036239
2022-01-12,AURORA,Consumer,185.79,1020517,-0.004287475213033964,0.014026852963649805,,188.84,-0.016151239144249208
2022-01-13,AURORA,Consumer,186.35,999995,0.0030141557672640484,0.017083287850670814,,188.84,-0.013185765727600107
2022-01-14,AURORA,Consumer,188.5,1087027,0.011537429568017288,0.028817814649055418,,188.84,-0.0018004660029654618
2022-01-17,AURORA,Consumer,191.87,1146964,0.017877984084880616,0.04721100316559279,,191.87,0.0
2022-01-18,AURORA,Consumer,191.16,1004748,-0.0037004221608381016,0.04333588036240532,,191.87,-0.0037004221608381016
2022-01-19,AURORA,Consumer,190.68,1089822,-0.0025109855618329346,0.04071607903067309,,191.87,-0.006202116016052472
2022-01-20,AURORA,Consumer,192.25,1684342,0.008233689951751666,0.04928501255321427,,192.25,0.0
2022-01-21,AURORA,Consumer,187.88,1045109,-0.022730819245773803,0.025433904595567602,,192.25,-0.022730819245773803
2022-01-24,AURORA,Consumer,186.52,898143,-0.007238662976367771,0.01801113415565947,,192.25,-0.029804941482444725
2022-01-25,AURORA,Consumer,187.5,881449,0.005254128243620038,0.023359895207946346,,192.25,-0.024707412223667125
2022-01-26,AURORA,Consumer,191.42,942928,0.02090666666666663,0.04475493941709385,,192.25,-0.0043172951885566135
2022-01-27,AURORA,Consumer,191.2,1135816,-0.0011493051927697895,0.04355419714004993,,192.25,-0.005461638491547571
2022-01-28,AURORA,Consumer,191.02,707446,-0.000941422594142094,0.0425717716406504,,192.25,-0.0063979193758126884
2022-01-31,AURORA,Consumer,190.48,2439129,-0.002826929117370036,0.039624495142451366,,192.25,-0.009206762028608595
2022-02-01,AURORA,Consumer,189.22,1245345,-0.006614867702645855,0.032747516646653985,0.19094557227384726,192.25,-0.015760728218465525
2022-02-02,AURORA,Consumer,192.55,1690109,0.017598562519818284,0.05092238838554719,0.19762318604661366,192.55,0.0
2022-02-03,AURORA,Consumer,193.84,986538,0.006699558556219065,0.057963104464577864,0.19291808724350612,193.84,0.0
2022-02-04,AURORA,Consumer,194.47,918579,0.0032501031778786604,0.061401593712476554,0.18312280379919008,194.47,0.0
2022-02-07,AURORA,Consumer,196.16,924120,0.008690286419499094,0.07062547756795068,0.1814517535297274,196.16,0.0
2022-02-08,AURORA,Consumer,194.51,1006371,-0.008411500815660666,0.06161991049012072,0.16840921480917817,196.16,-0.008411500815660666
2022-02-09,AURORA,Consumer,193.16,1268025,-0.006940517197059237,0.054251719244623464,0.1647668068487333,196.16,-0.015293637846655828
2022-02-10,AURORA,Consumer,190.65,911745,-0.012994408780285682,0.0405523414474398,0.17138165035622,196.16,-0.028089314845024416
2022-02-11,AURORA,Consumer,190.65,766891,0.0,0.0405523414474398,0.17131670903647056,196.16,-0.028089314845024416
2022-02-14,AURORA,Consumer,194.1,825914,0.01809598741148699,0.05938216351926595,0.17771789649522238,196.16,-0.010501631321370275
2022-02-15,AURORA,Consumer,197.99,1160579,0.020041215868109363,0.08061347014518039,0.1803748857500551,197.99,0.0
2022-02-16,AURORA,Consumer,199.55,1271551,0.007879185817465606,0.08912782447331069,0.18058187529179817,199.55,0.0
2022-02-17,AURORA,Consumer,201.42,1151880,0.009371084941117491,0.09933413382818457,0.18144048406646185,201.42,0.0
2022-02-18,AURORA,Consumer,204.67,740267,0.01613543838744902,0.11707237201178877,0.18648538231844974,204.67,0.0
2022-02-21,AURORA,Consumer,204.13,1798797,-0.0026383935115062984,0.11412509551358996,0.1629942068818447,204.67,-0.0026383935115062984
2022-02-22,AURORA,Consumer,202.17,535321,-0.009601724391319344,0.1034275734090162,0.16523874941056058,204.67,-0.012214784775492205
2022-02-23,AURORA,Consumer,200.13,914648,-0.010090517880991245,0.09229341774915367,0.17205794870644003,204.67,-0.022182049152293937
2022-02-24,AURORA,Consumer,197.42,902845,-0.013541198221156292,0.07750245606374806,0.16864826698698435,204.67,-0.03542287584892756
2022-02-25,AURORA,Consumer,196.54,1211347,-0.004457501772869965,0.07269948695557216,0.16969519299275107,204.67,-0.03972248008990076
2022-02-28,AURORA,Consumer,197.77,1035478,0.006258268037040882,0.07941272786813647,0.17029298944861196,204.67,-0.03371280598035853
2022-03-01,AURORA,Consumer,198.91,1185222,0.005764271628659445,0.08563475603100068,0.1700095611474432,204.67,-0.028142864122734146
2022-03-02,AURORA,Consumer,195.44,902440,-0.017445075662359866,0.06669577557035233,0.1808158070720189,204.67,-0.045096985391117395
2022-03-03,AURORA,Consumer,193.06,1277741,-0.012177650429799458,0.05370592730051271,0.17700676675513494,204.67,-0.056725460497385916
2022-03-04,AURORA,Consumer,191.15,903975,-0.009893297420491054,0.043281301167994446,0.1786373719291187,204.67,-0.06605755606586206
2022-03-07,AURORA,Consumer,189.82,443224,-0.006957886476589126,0.03602226831131938,0.1793600953672126,204.67,-0.07255582156642393
2022-03-08,AURORA,Consumer,190.05,680357,0.001211674217679981,0.03727758978277462,0.1760618694545356,204.67,-0.07143206136707858
2022-03-09,AURORA,Consumer,187.93,873112,-0.011154959221257532,0.025706800567623533,0.1776782885055524,204.67,-0.08179019885669603
2022-03-10,AURORA,Consumer,188.06,1390574,0.0006917469270473209,0.0264163300949678,0.17674044268198774,204.67,-0.08115503004837044
2022-03-11,AURORA,Consumer,189.15,882937,0.005796022545995871,0.032365462285776525,0.17290494955366104,204.67,-0.07582938388625582
2022-03-14,AURORA,Consumer,193.03,1040686,0.02051282051282044,0.05354218971727964,0.18737844575351537,204.67,-0.056872037914691864
2022-03-15,AURORA,Consumer,193.92,1055364,0.004610682277366163,0.05839973801986664,0.17710640403854527,204.67,-0.05252357453461676
2022-03-16,AURORA,Consumer,194.78,741730,0.004434818481848346,0.06309354873922057,0.16252213592719436,204.67,-0.048321688571847266
2022-03-17,AURORA,Consumer,192.68,1320834,-0.01078139439367487,0.05163191791289168,0.16292469981501476,204.67,-0.058582107783260784
2022-03-18,AURORA,Consumer,188.99,704055,-0.019150923811500964,0.03149219517519919,0.16854947497862582,204.67,-0.07661113011188736
2022-03-21,AURORA,Consumer,190.0,477676,0.005344198105719844,0.03700469381071936,0.15687402711814616,204.67,-0.07167635706258846
2022-03-22,AURORA,Consumer,188.66,1421941,-0.007052631578947421,0.029691081759633198,0.1573171373222993,204.67,-0.07822348170225235
2022-03-23,AURORA,Consumer,188.18,372513,-0.0025442595144704594,0.027071280427900968,0.15587365933280264,204.67,-0.08056872037914686
2022-03-24,AURORA,Consumer,187.82,1520876,-0.001913061961951401,0.025106429429101684,0.15398926181230346,204.67,-0.0823276493868178
2022-03-25,AURORA,Consumer,185.79,842145,-0.010808220636779886,0.01402685296365025,0.15190299688550632,204.67,-0.09224605462451752
2022-03-28,AURORA,Consumer,186.55,670357,0.004090639969858589,0.018174871738893206,0.15363489270382327,204.67,-0.08853276005276778
2022-03-29,AURORA,Consumer,187.84,1143650,0.006915036183328782,0.02521558781792388,0.15411929745234648,204.67,-0.08222993110861376
