date,ticker,sector,close,volume
2022-01-03,AURORA,Consumer,183.22,1073110.0
2022-01-03,NOVA,Technology,326.81,1942852.0
2022-01-03,ORBIT,Financials,140.12,960875.0
2022-01-03,PRISM,Healthcare,252.13,452671.0
2022-01-03,ZENITH,Energy,210.67,1356269.0
2022-01-04,AURORA,Consumer,182.54,702232.0
2022-01-04,NOVA,Technology,325.36,1264048.0
2022-01-04,ORBIT,Financials,138.09,1898541.0
2022-01-04,PRISM,Healthcare,247.74,780835.0
2022-01-04,ZENITH,Energy,210.94,839798.0
2022-01-05,AURORA,Consumer,185.32,1006080.0
2022-01-05,NOVA,Technology,329.09,1018789.0
2022-01-05,ORBIT,Financials,141.69,1007815.0
2022-01-05,PRISM,Healthcare,250.28,507895.0
2022-01-05,ZENITH,Energy,214.15,1021980.0
2022-01-06,AURORA,Consumer,188.84,518902.0
2022-01-06,NOVA,Technology,340.56,3283592.0
2022-01-06,ORBIT,Financials,141.39,1720860.0
2022-01-06,PRISM,Healthcare,252.93,429225.0
2022-01-06,ZENITH,Energy,218.26,1604763.0
2022-01-07,AURORA,Consumer,187.35,882666.0
2022-01-07,NOVA,Technology,352.02,1154000.0
2022-01-07,ORBIT,Financials,146.04,1447675.0
2022-01-07,PRISM,Healthcare,255.97,505764.0
2022-01-07,ZENITH,Energy,219.87,1819885.0
2022-01-10,AURORA,Consumer,183.71,933066.0
2022-01-10,NOVA,Technology,348.65,881168.0
2022-01-10,ORBIT,Financials,144.48,1053395.0
2022-01-10,PRISM,Healthcare,252.17,970237.0
2022-01-10,ZENITH,Energy,215.76,1149061.0
2022-01-11,AURORA,Consumer,186.59,743965.0
2022-01-11,NOVA,Technology,349.41,1349001.0
2022-01-11,ORBIT,Financials,143.75,991531.0
2022-01-11,PRISM,Healthcare,254.89,512230.0
2022-01-11,ZENITH,Energy,218.6,2134403.0
2022-01-12,AURORA,Consumer,185.79,1020517.0
2022-01-12,NOVA,Technology,348.01,583063.0
2022-01-12,ORBIT,Financials,141.76,1063511.0
2022-01-12,PRISM,Healthcare,254.59,839108.0
2022-01-12,ZENITH,Energy,213.33,1238860.0
2022-01-13,AURORA,Consumer,186.35,999995.0
2022-01-13,NOVA,Technology,347.79,1150483.0
2022-01-13,ORBIT,Financials,142.36,1606776.0
2022-01-13,PRISM,Healthcare,254.11,508902.0
2022-01-13,ZENITH,Energy,208.36,1183911.0
2022-01-14,AURORA,Consumer,188.5,1087027.0
2022-01-14,NOVA,Technology,351.36,829418.0
2022-01-14,ORBIT,Financials,143.07,1285262.0
2022-01-14,PRISM,Healthcare,249.05,729222.0
2022-01-14,ZENITH,Energy,208.58,1675006.0
2022-01-17,AURORA,Consumer,191.87,1146964.0
2022-01-17,NOVA,Technology,354.92,977442.0
2022-01-17,ORBIT,Financials,143.13,1607467.0
2022-01-17,PRISM,Healthcare,248.0,912836.0
2022-01-17,ZENITH,Energy,205.48,1105607.0
2022-01-18,AURORA,Consumer,191.16,1004748.0
2022-01-18,NOVA,Technology,355.99,1495236.0
2022-01-18,ORBIT,Financials,138.04,965940.0
2022-01-18,PRISM,Healthcare,246.35,474370.0
2022-01-18,ZENITH,Energy,201.64,1557125.0
2022-01-19,AURORA,Consumer,190.68,1089822.0
2022-01-19,NOVA,Technology,367.47,847010.0
2022-01-19,ORBIT,Financials,136.7,1104241.0
2022-01-19,PRISM,Healthcare,247.26,997684.0
2022-01-19,ZENITH,Energy,198.86,1968877.0
2022-01-20,AURORA,Consumer,192.25,1684342.0
2022-01-20,NOVA,Technology,365.7,1298405.0
2022-01-20,ORBIT,Financials,137.04,429547.0
2022-01-20,PRISM,Healthcare,246.18,853360.0
2022-01-20,ZENITH,Energy,194.57,1127957.0
2022-01-21,AURORA,Consumer,187.88,1045109.0
2022-01-21,NOVA,Technology,355.94,1863479.0
2022-01-21,ORBIT,Financials,133.59,803817.0
2022-01-21,PRISM,Healthcare,246.09,923006.0
2022-01-21,ZENITH,Energy,193.73,1289489.0
2022-01-24,AURORA,Consumer,186.52,898143.0
2022-01-24,NOVA,Technology,361.62,887805.0
2022-01-24,ORBIT,Financials,135.32,906051.0
2022-01-24,PRISM,Healthcare,245.85,723940.0
2022-01-24,ZENITH,Energy,198.02,1305315.0
2022-01-25,AURORA,Consumer,187.5,881449.0
2022-01-25,NOVA,Technology,367.66,1235548.0
2022-01-25,ORBIT,Financials,135.44,540188.0
2022-01-25,PRISM,Healthcare,244.64,489493.0
2022-01-25,ZENITH,Energy,197.35,1174908.0
