date,city,region,temperature_max_c,temperature_min_c,rainfall_mm,humidity_pct,wind_speed_kmh,weather_condition,temperature_mean_c,temperature_range_c,year,month_num,month,day_of_year,season,heavy_rain_day,heatwave_day,cold_day,high_wind_day,extreme_event
2022-01-01,Bengaluru,South,22.1,15.8,0.0,45.7,15.8,Clear,18.950000000000003,6.300000000000001,2022,1,January,1,Winter,False,False,False,False,False
2022-01-01,Chennai,South,26.0,18.4,0.0,49.9,6.0,Clear,22.2,7.600000000000001,2022,1,January,1,Winter,False,False,False,False,False
2022-01-01,Delhi,North,19.0,7.8,0.0,60.4,2.9,Clear,13.4,11.2,2022,1,January,1,Winter,False,False,False,False,False
2022-01-01,Jaipur,Northwest,24.0,11.9,0.0,51.2,18.9,Clear,17.95,12.1,2022,1,January,1,Winter,False,False,False,False,False
2022-01-01,Kolkata,East,23.5,17.6,1.7,45.3,11.8,Light Rain,20.55,5.899999999999999,2022,1,January,1,Winter,False,False,False,False,False
2022-01-01,Mumbai,West,21.8,15.8,0.0,55.9,21.9,Clear,18.8,6.0,2022,1,January,1,Winter,False,False,False,False,False
2022-01-02,Bengaluru,South,22.7,15.7,0.0,43.8,5.8,Clear,19.2,7.0,2022,1,January,2,Winter,False,False,False,False,False
2022-01-02,Chennai,South,26.0,21.0,0.0,53.6,1.2,Clear,23.5,5.0,2022,1,January,2,Winter,False,False,False,False,False
2022-01-02,Delhi,North,20.3,10.0,0.0,56.1,2.5,Clear,15.15,10.3,2022,1,January,2,Winter,False,False,False,False,False
2022-01-02,Jaipur,Northwest,19.7,10.8,0.0,49.4,5.9,Clear,15.25,8.899999999999999,2022,1,January,2,Winter,False,False,False,False,False
2022-01-02,Kolkata,East,24.8,18.0,0.0,23.1,3.0,Clear,21.4,6.800000000000001,2022,1,January,2,Winter,False,False,False,False,False
2022-01-02,Mumbai,West,28.6,22.5,0.0,47.6,9.0,Clear,25.55,6.100000000000001,2022,1,January,2,Winter,False,False,False,False,False
2022-01-03,Bengaluru,South,24.4,18.0,0.0,54.5,17.9,Clear,21.2,6.399999999999999,2022,1,January,3,Winter,False,False,False,False,False
2022-01-03,Chennai,South,28.6,22.5,0.0,49.9,11.5,Clear,25.55,6.100000000000001,2022,1,January,3,Winter,False,False,False,False,False
2022-01-03,Delhi,North,19.5,9.3,0.0,40.7,2.5,Clear,14.4,10.2,2022,1,January,3,Winter,False,False,False,False,False
2022-01-03,Jaipur,Northwest,22.0,9.9,0.0,30.0,3.9,Clear,15.95,12.1,2022,1,January,3,Winter,False,False,False,False,False
2022-01-03,Kolkata,East,23.9,16.7,0.0,52.6,9.8,Clear,20.299999999999997,7.199999999999999,2022,1,January,3,Winter,False,False,False,False,False
2022-01-03,Mumbai,West,28.6,22.2,7.2,71.9,21.2,Light Rain,25.4,6.400000000000002,2022,1,January,3,Winter,False,False,False,False,False
2022-01-04,Bengaluru,South,21.3,14.8,0.0,50.7,18.4,Clear,18.05,6.5,2022,1,January,4,Winter,False,False,False,False,False
2022-01-04,Chennai,South,26.4,18.7,0.0,40.4,11.2,Clear,22.549999999999997,7.699999999999999,2022,1,January,4,Winter,False,False,False,False,False
2022-01-04,Delhi,North,15.0,5.7,0.0,51.2,15.2,Clear,10.35,9.3,2022,1,January,4,Winter,False,False,False,False,False
2022-01-04,Jaipur,Northwest,20.6,9.6,0.0,48.3,14.6,Clear,15.100000000000001,11.000000000000002,2022,1,January,4,Winter,False,False,False,False,False
2022-01-04,Kolkata,East,23.5,16.5,0.0,53.2,19.0,Clear,20.0,7.0,2022,1,January,4,Winter,False,False,False,False,False
